RUTU	year	Nsegment	NWD	time	AT	windS	TS	FEDR	nGulls	tending	nOM	nOtherP	dog	raptor	plane	activities	day	NWD	Bulk	Dune	Phrag	Marsh	Creek	Woodland	FT	LT	RT	DC1	DC2	DC3	DC4	DC5	DC6	DC7	DC8
0	2016	47	1	0.09016324519733844	1.105578820853222	-0.2886590653302809	0.3064757340247999	0.04341605777873379	0.6088600721932463	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	48	1	0.09016324519733844	1.105578820853222	-0.2886590653302809	0.3064757340247999	0.04341605777873379	0.6088600721932463	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	49	1	0.09016324519733844	1.105578820853222	-0.2886590653302809	0.3064757340247999	0.04341605777873379	0.6088600721932463	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	50	1	0.09016324519733844	1.105578820853222	-0.2886590653302809	0.3064757340247999	0.04341605777873379	0.6088600721932463	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	51	1	0.09016324519733844	1.105578820853222	-0.2886590653302809	0.3064757340247999	0.04341605777873379	0.6088600721932463	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	52	1	0.09016324519733844	1.105578820853222	-0.2886590653302809	0.3064757340247999	0.04341605777873379	0.6088600721932463	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	53	1	0.09016324519733844	1.105578820853222	-0.2886590653302809	0.3064757340247999	0.04341605777873379	0.6088600721932463	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	54	1	0.09016324519733844	1.105578820853222	-0.2886590653302809	0.3064757340247999	0.04341605777873379	0.6088600721932463	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	55	1	0.09016324519733844	1.105578820853222	-0.2886590653302809	0.3064757340247999	0.04341605777873379	0.6088600721932463	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	56	1	0.0030943244637609978	1.105578820853222	-0.2886590653302809	0.3064757340247999	0.04341605777873379	0.6292507703425346	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	57	1	0.0030943244637609978	1.105578820853222	-0.2886590653302809	-0.13667712288162992	0.04341605777873379	1.302143809269047	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	58	1	0.0030943244637609978	1.105578820853222	-0.2886590653302809	-0.06070806169767053	0.04341605777873379	1.302143809269047	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	59	1	0.0030943244637609978	1.105578820853222	-0.2886590653302809	-0.13667712288162992	0.04341605777873379	1.302143809269047	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
